method,split,seed,fold,far,recall_050,threshold,consecutive
v2 teacher,development,0,1,0.0,0.45454545454545453,0.85,2
v2 teacher,development,0,1,0.0,0.44155844155844154,0.85,3
v2 teacher,development,0,1,0.0,0.4025974025974026,0.85,4
v2 teacher,development,0,1,0.037037037037037035,0.5064935064935064,0.9,1
v2 teacher,development,0,1,0.0,0.44155844155844154,0.9,2
v2 teacher,development,0,1,0.0,0.42857142857142855,0.9,3
v2 teacher,development,0,1,0.0,0.3246753246753247,0.9,4
v2 teacher,development,0,2,0.11538461538461539,0.7341772151898734,0.1,1
v2 teacher,development,0,2,0.07692307692307693,0.7215189873417721,0.1,2
v2 teacher,development,0,2,0.07692307692307693,0.5949367088607594,0.1,3
v2 teacher,development,0,2,0.07692307692307693,0.4810126582278481,0.1,4
v2 teacher,development,0,2,0.11538461538461539,0.7341772151898734,0.15,1
v2 teacher,development,0,2,0.07692307692307693,0.6962025316455697,0.15,2
v2 teacher,development,0,2,0.07692307692307693,0.5316455696202531,0.15,3
v2 teacher,development,0,2,0.07692307692307693,0.4177215189873418,0.15,4
v2 teacher,development,0,2,0.11538461538461539,0.7088607594936709,0.2,1
v2 teacher,development,0,2,0.07692307692307693,0.6329113924050633,0.2,2
v2 teacher,development,0,2,0.07692307692307693,0.46835443037974683,0.2,3
v2 teacher,development,0,2,0.038461538461538464,0.3924050632911392,0.2,4
v2 teacher,development,0,2,0.11538461538461539,0.7088607594936709,0.25,1
v2 teacher,development,0,2,0.07692307692307693,0.5822784810126582,0.25,2
v2 teacher,development,0,2,0.07692307692307693,0.4430379746835443,0.25,3
v2 teacher,development,0,2,0.038461538461538464,0.3924050632911392,0.25,4
v2 teacher,development,0,2,0.11538461538461539,0.6708860759493671,0.3,1
v2 teacher,development,0,2,0.07692307692307693,0.569620253164557,0.3,2
v2 teacher,development,0,2,0.07692307692307693,0.43037974683544306,0.3,3
v2 teacher,development,0,2,0.038461538461538464,0.379746835443038,0.3,4
v2 teacher,development,0,2,0.11538461538461539,0.6455696202531646,0.35,1
v2 teacher,development,0,2,0.07692307692307693,0.5316455696202531,0.35,2
v2 teacher,development,0,2,0.07692307692307693,0.379746835443038,0.35,3
v2 teacher,development,0,2,0.038461538461538464,0.34177215189873417,0.35,4
v2 teacher,development,0,2,0.11538461538461539,0.6075949367088608,0.4,1
v2 teacher,development,0,2,0.07692307692307693,0.4936708860759494,0.4,2
v2 teacher,development,0,2,0.07692307692307693,0.3670886075949367,0.4,3
v2 teacher,development,0,2,0.038461538461538464,0.3291139240506329,0.4,4
v2 teacher,development,0,2,0.11538461538461539,0.5569620253164557,0.45,1
v2 teacher,development,0,2,0.07692307692307693,0.4810126582278481,0.45,2
v2 teacher,development,0,2,0.07692307692307693,0.34177215189873417,0.45,3
v2 teacher,development,0,2,0.038461538461538464,0.3037974683544304,0.45,4
v2 teacher,development,0,2,0.11538461538461539,0.5443037974683544,0.5,1
v2 teacher,development,0,2,0.07692307692307693,0.4810126582278481,0.5,2
v2 teacher,development,0,2,0.07692307692307693,0.3291139240506329,0.5,3
v2 teacher,development,0,2,0.038461538461538464,0.27848101265822783,0.5,4
v2 teacher,development,0,2,0.11538461538461539,0.5189873417721519,0.55,1
v2 teacher,development,0,2,0.07692307692307693,0.43037974683544306,0.55,2
v2 teacher,development,0,2,0.07692307692307693,0.31645569620253167,0.55,3
v2 teacher,development,0,2,0.038461538461538464,0.25316455696202533,0.55,4
v2 teacher,development,0,2,0.11538461538461539,0.4936708860759494,0.6,1
v2 teacher,development,0,2,0.07692307692307693,0.3924050632911392,0.6,2
v2 teacher,development,0,2,0.07692307692307693,0.2911392405063291,0.6,3
v2 teacher,development,0,2,0.038461538461538464,0.21518987341772153,0.6,4
v2 teacher,development,0,2,0.07692307692307693,0.4810126582278481,0.65,1
v2 teacher,development,0,2,0.07692307692307693,0.379746835443038,0.65,2
v2 teacher,development,0,2,0.07692307692307693,0.26582278481012656,0.65,3
v2 teacher,development,0,2,0.038461538461538464,0.21518987341772153,0.65,4
v2 teacher,development,0,2,0.07692307692307693,0.45569620253164556,0.7,1
v2 teacher,development,0,2,0.07692307692307693,0.34177215189873417,0.7,2
v2 teacher,development,0,2,0.07692307692307693,0.22784810126582278,0.7,3
v2 teacher,development,0,2,0.038461538461538464,0.21518987341772153,0.7,4
v2 teacher,development,0,2,0.07692307692307693,0.43037974683544306,0.75,1
v2 teacher,development,0,2,0.07692307692307693,0.31645569620253167,0.75,2
v2 teacher,development,0,2,0.038461538461538464,0.21518987341772153,0.75,3
v2 teacher,development,0,2,0.038461538461538464,0.20253164556962025,0.75,4
v2 teacher,development,0,2,0.07692307692307693,0.379746835443038,0.8,1
v2 teacher,development,0,2,0.07692307692307693,0.3037974683544304,0.8,2
v2 teacher,development,0,2,0.038461538461538464,0.20253164556962025,0.8,3
v2 teacher,development,0,2,0.038461538461538464,0.16455696202531644,0.8,4
v2 teacher,development,0,2,0.07692307692307693,0.3291139240506329,0.85,1
v2 teacher,development,0,2,0.07692307692307693,0.3037974683544304,0.85,2
v2 teacher,development,0,2,0.038461538461538464,0.189873417721519,0.85,3
v2 teacher,development,0,2,0.038461538461538464,0.13924050632911392,0.85,4
v2 teacher,development,0,2,0.07692307692307693,0.31645569620253167,0.9,1
v2 teacher,development,0,2,0.07692307692307693,0.25316455696202533,0.9,2
v2 teacher,development,0,2,0.038461538461538464,0.1518987341772152,0.9,3
v2 teacher,development,0,2,0.038461538461538464,0.11392405063291139,0.9,4
v2 teacher,development,0,3,0.18518518518518517,0.5930232558139535,0.1,1
v2 teacher,development,0,3,0.18518518518518517,0.5465116279069767,0.1,2
v2 teacher,development,0,3,0.14814814814814814,0.47674418604651164,0.1,3
v2 teacher,development,0,3,0.14814814814814814,0.3953488372093023,0.1,4
v2 teacher,development,0,3,0.18518518518518517,0.5697674418604651,0.15,1
v2 teacher,development,0,3,0.14814814814814814,0.5116279069767442,0.15,2
v2 teacher,development,0,3,0.14814814814814814,0.4418604651162791,0.15,3
v2 teacher,development,0,3,0.14814814814814814,0.3953488372093023,0.15,4
v2 teacher,development,0,3,0.18518518518518517,0.5465116279069767,0.2,1
v2 teacher,development,0,3,0.14814814814814814,0.4883720930232558,0.2,2
v2 teacher,development,0,3,0.14814814814814814,0.43023255813953487,0.2,3
v2 teacher,development,0,3,0.14814814814814814,0.36046511627906974,0.2,4
v2 teacher,development,0,3,0.18518518518518517,0.5348837209302325,0.25,1
v2 teacher,development,0,3,0.14814814814814814,0.46511627906976744,0.25,2
v2 teacher,development,0,3,0.1111111111111111,0.38372093023255816,0.25,3
v2 teacher,development,0,3,0.1111111111111111,0.36046511627906974,0.25,4
v2 teacher,development,0,3,0.18518518518518517,0.5232558139534884,0.3,1
v2 teacher,development,0,3,0.14814814814814814,0.4418604651162791,0.3,2
v2 teacher,development,0,3,0.1111111111111111,0.38372093023255816,0.3,3
v2 teacher,development,0,3,0.1111111111111111,0.3488372093023256,0.3,4
v2 teacher,development,0,3,0.18518518518518517,0.5116279069767442,0.35,1
v2 teacher,development,0,3,0.1111111111111111,0.4418604651162791,0.35,2
v2 teacher,development,0,3,0.1111111111111111,0.37209302325581395,0.35,3
v2 teacher,development,0,3,0.1111111111111111,0.32558139534883723,0.35,4
v2 teacher,development,0,3,0.18518518518518517,0.5116279069767442,0.4,1
v2 teacher,development,0,3,0.1111111111111111,0.43023255813953487,0.4,2
v2 teacher,development,0,3,0.1111111111111111,0.36046511627906974,0.4,3
v2 teacher,development,0,3,0.1111111111111111,0.3023255813953488,0.4,4
v2 teacher,development,0,3,0.18518518518518517,0.5,0.45,1
v2 teacher,development,0,3,0.1111111111111111,0.4186046511627907,0.45,2
v2 teacher,development,0,3,0.1111111111111111,0.3488372093023256,0.45,3
v2 teacher,development,0,3,0.1111111111111111,0.29069767441860467,0.45,4
v2 teacher,development,0,3,0.18518518518518517,0.4883720930232558,0.5,1
v2 teacher,development,0,3,0.1111111111111111,0.3953488372093023,0.5,2
v2 teacher,development,0,3,0.1111111111111111,0.32558139534883723,0.5,3
v2 teacher,development,0,3,0.1111111111111111,0.29069767441860467,0.5,4
v2 teacher,development,0,3,0.14814814814814814,0.45348837209302323,0.55,1
v2 teacher,development,0,3,0.1111111111111111,0.38372093023255816,0.55,2
v2 teacher,development,0,3,0.1111111111111111,0.32558139534883723,0.55,3
v2 teacher,development,0,3,0.1111111111111111,0.2441860465116279,0.55,4
v2 teacher,development,0,3,0.14814814814814814,0.4418604651162791,0.6,1
v2 teacher,development,0,3,0.1111111111111111,0.38372093023255816,0.6,2
v2 teacher,development,0,3,0.1111111111111111,0.32558139534883723,0.6,3
v2 teacher,development,0,3,0.1111111111111111,0.23255813953488372,0.6,4
v2 teacher,development,0,3,0.14814814814814814,0.43023255813953487,0.65,1
v2 teacher,development,0,3,0.1111111111111111,0.3488372093023256,0.65,2
v2 teacher,development,0,3,0.1111111111111111,0.27906976744186046,0.65,3
v2 teacher,development,0,3,0.1111111111111111,0.20930232558139536,0.65,4
